Date,Date_YMD,Status, Deceased,DCumulative
14-Mar-20,3/14/2020,Deceased,0,0
15-Mar-20,3/15/2020,Deceased,0,0
16-Mar-20,3/16/2020,Deceased,0,0
17-Mar-20,3/17/2020,Deceased,0,0
18-Mar-20,3/18/2020,Deceased,0,0
19-Mar-20,3/19/2020,Deceased,0,0
20-Mar-20,3/20/2020,Deceased,0,0
21-Mar-20,3/21/2020,Deceased,0,0
22-Mar-20,3/22/2020,Deceased,0,0
23-Mar-20,3/23/2020,Deceased,0,0
24-Mar-20,3/24/2020,Deceased,0,0
25-Mar-20,3/25/2020,Deceased,0,0
26-Mar-20,3/26/2020,Deceased,0,0
27-Mar-20,3/27/2020,Deceased,0,0
28-Mar-20,3/28/2020,Deceased,0,0
29-Mar-20,3/29/2020,Deceased,0,0
30-Mar-20,3/30/2020,Deceased,0,0
31-Mar-20,3/31/2020,Deceased,0,0
1-Apr-20,4/1/2020,Deceased,0,0
2-Apr-20,4/2/2020,Deceased,0,0
3-Apr-20,4/3/2020,Deceased,0,0
4-Apr-20,4/4/2020,Deceased,0,0
5-Apr-20,4/5/2020,Deceased,0,0
6-Apr-20,4/6/2020,Deceased,0,0
7-Apr-20,4/7/2020,Deceased,1,1
8-Apr-20,4/8/2020,Deceased,0,1
9-Apr-20,4/9/2020,Deceased,0,1
10-Apr-20,4/10/2020,Deceased,0,1
11-Apr-20,4/11/2020,Deceased,0,1
12-Apr-20,4/12/2020,Deceased,0,1
13-Apr-20,4/13/2020,Deceased,0,1
14-Apr-20,4/14/2020,Deceased,0,1
15-Apr-20,4/15/2020,Deceased,0,1
16-Apr-20,4/16/2020,Deceased,0,1
17-Apr-20,4/17/2020,Deceased,0,1
18-Apr-20,4/18/2020,Deceased,0,1
19-Apr-20,4/19/2020,Deceased,0,1
20-Apr-20,4/20/2020,Deceased,0,1
21-Apr-20,4/21/2020,Deceased,0,1
22-Apr-20,4/22/2020,Deceased,0,1
23-Apr-20,4/23/2020,Deceased,0,1
24-Apr-20,4/24/2020,Deceased,0,1
25-Apr-20,4/25/2020,Deceased,0,1
26-Apr-20,4/26/2020,Deceased,0,1
27-Apr-20,4/27/2020,Deceased,0,1
28-Apr-20,4/28/2020,Deceased,0,1
29-Apr-20,4/29/2020,Deceased,0,1
30-Apr-20,4/30/2020,Deceased,0,1
1-May-20,5/1/2020,Deceased,0,1
2-May-20,5/2/2020,Deceased,0,1
3-May-20,5/3/2020,Deceased,0,1
4-May-20,5/4/2020,Deceased,0,1
5-May-20,5/5/2020,Deceased,1,2
6-May-20,5/6/2020,Deceased,0,2
7-May-20,5/7/2020,Deceased,0,2
8-May-20,5/8/2020,Deceased,0,2
9-May-20,5/9/2020,Deceased,1,3
10-May-20,5/10/2020,Deceased,0,3
11-May-20,5/11/2020,Deceased,0,3
12-May-20,5/12/2020,Deceased,0,3
13-May-20,5/13/2020,Deceased,0,3
14-May-20,5/14/2020,Deceased,0,3
15-May-20,5/15/2020,Deceased,0,3
16-May-20,5/16/2020,Deceased,0,3
17-May-20,5/17/2020,Deceased,1,4
18-May-20,5/18/2020,Deceased,0,4
19-May-20,5/19/2020,Deceased,1,5
20-May-20,5/20/2020,Deceased,1,6
21-May-20,5/21/2020,Deceased,1,7
22-May-20,5/22/2020,Deceased,0,7
23-May-20,5/23/2020,Deceased,0,7
24-May-20,5/24/2020,Deceased,0,7
