"Date","Date_YMD","Status","OR","Cumulative"
"14-Mar-20","3/14/2020","Recovered","0","0"
"15-Mar-20","3/15/2020","Recovered","0","0"
"16-Mar-20","3/16/2020","Recovered","0","0"
"17-Mar-20","3/17/2020","Recovered","0","0"
"18-Mar-20","3/18/2020","Recovered","0","0"
"19-Mar-20","3/19/2020","Recovered","0","0"
"20-Mar-20","3/20/2020","Recovered","0","0"
"21-Mar-20","3/21/2020","Recovered","0","0"
"22-Mar-20","3/22/2020","Recovered","0","0"
"23-Mar-20","3/23/2020","Recovered","0","0"
"24-Mar-20","3/24/2020","Recovered","0","0"
"25-Mar-20","3/25/2020","Recovered","0","0"
"26-Mar-20","3/26/2020","Recovered","0","0"
"27-Mar-20","3/27/2020","Recovered","0","0"
"28-Mar-20","3/28/2020","Recovered","0","0"
"29-Mar-20","3/29/2020","Recovered","0","0"
"30-Mar-20","3/30/2020","Recovered","0","0"
"31-Mar-20","3/31/2020","Recovered","0","0"
"1-Apr-20","4/1/2020","Recovered","1","1"
"2-Apr-20","4/2/2020","Recovered","0","1"
"3-Apr-20","4/3/2020","Recovered","1","2"
"4-Apr-20","4/4/2020","Recovered","0","2"
"5-Apr-20","4/5/2020","Recovered","0","2"
"6-Apr-20","4/6/2020","Recovered","0","2"
"7-Apr-20","4/7/2020","Recovered","0","2"
"8-Apr-20","4/8/2020","Recovered","0","2"
"9-Apr-20","4/9/2020","Recovered","0","2"
"10-Apr-20","4/10/2020","Recovered","10","12"
"11-Apr-20","4/11/2020","Recovered","0","12"
"12-Apr-20","4/12/2020","Recovered","0","12"
"13-Apr-20","4/13/2020","Recovered","6","18"
"14-Apr-20","4/14/2020","Recovered","0","18"
"15-Apr-20","4/15/2020","Recovered","1","19"
"16-Apr-20","4/16/2020","Recovered","0","19"
"17-Apr-20","4/17/2020","Recovered","2","21"
"18-Apr-20","4/18/2020","Recovered","3","24"
"19-Apr-20","4/19/2020","Recovered","0","24"
"20-Apr-20","4/20/2020","Recovered","0","24"
"21-Apr-20","4/21/2020","Recovered","6","30"
"22-Apr-20","4/22/2020","Recovered","2","32"
"23-Apr-20","4/23/2020","Recovered","1","33"
"24-Apr-20","4/24/2020","Recovered","0","33"
"25-Apr-20","4/25/2020","Recovered","1","34"
"26-Apr-20","4/26/2020","Recovered","1","35"
"27-Apr-20","4/27/2020","Recovered","2","37"
"28-Apr-20","4/28/2020","Recovered","1","38"
"29-Apr-20","4/29/2020","Recovered","1","39"
"30-Apr-20","4/30/2020","Recovered","2","41"
"1-May-20","5/1/2020","Recovered","14","55"
"2-May-20","5/2/2020","Recovered","1","56"
"3-May-20","5/3/2020","Recovered","4","60"
"4-May-20","5/4/2020","Recovered","0","60"
"5-May-20","5/5/2020","Recovered","0","60"
"6-May-20","5/6/2020","Recovered","1","61"
"7-May-20","5/7/2020","Recovered","1","62"
"8-May-20","5/8/2020","Recovered","1","63"
"9-May-20","5/9/2020","Recovered","5","68"
"10-May-20","5/10/2020","Recovered","0","68"
"11-May-20","5/11/2020","Recovered","17","85"
"12-May-20","5/12/2020","Recovered","31","116"
"13-May-20","5/13/2020","Recovered","27","143"
"14-May-20","5/14/2020","Recovered","15","158"
"15-May-20","5/15/2020","Recovered","8","166"
"16-May-20","5/16/2020","Recovered","30","196"
"17-May-20","5/17/2020","Recovered","24","220"
"18-May-20","5/18/2020","Recovered","57","277"
"19-May-20","5/19/2020","Recovered","30","307"
"20-May-20","5/20/2020","Recovered","36","343"
"21-May-20","5/21/2020","Recovered","50","393"
"22-May-20","5/22/2020","Recovered","43","436"
"23-May-20","5/23/2020","Recovered","61","497"
"24-May-20","5/24/2020","Recovered","53","550"
"25-May-20","5/25/2020","Recovered","99","649"
"26-May-20","5/26/2020","Recovered","84","733"
"27-May-20","5/27/2020","Recovered","79","812"
"28-May-20","5/28/2020","Recovered","75","887"
"29-May-20","5/29/2020","Recovered","90","977"
"30-May-20","5/30/2020","Recovered","73","1050"
"31-May-20","5/31/2020","Recovered","76","1126"
"1-Jun-20","6/1/2020","Recovered","119","1245"
"2-Jun-20","6/2/2020","Recovered","80","1325"
"3-Jun-20","6/3/2020","Recovered","91","1416"
"4-Jun-20","6/4/2020","Recovered","65","1481"
"5-Jun-20","6/5/2020","Recovered","123","1604"
"6-Jun-20","6/6/2020","Recovered","112","1716"
"7-Jun-20","6/7/2020","Recovered","178","1894"
"8-Jun-20","6/8/2020","Recovered","99","1993"
"9-Jun-20","6/9/2020","Recovered","140","2133"
"10-Jun-20","6/10/2020","Recovered","149","2282"
"11-Jun-20","6/11/2020","Recovered","72","2354"
"12-Jun-20","6/12/2020","Recovered","120","2474"
"13-Jun-20","6/13/2020","Recovered","120","2594"
"14-Jun-20","6/14/2020","Recovered","114","2708"
"15-Jun-20","6/15/2020","Recovered","146","2854"
"16-Jun-20","6/16/2020","Recovered","120","2974"
"17-Jun-20","6/17/2020","Recovered","73","3047"
"18-Jun-20","6/18/2020","Recovered","97","3144"
"19-Jun-20","6/19/2020","Recovered","153","3297"
"20-Jun-20","6/20/2020","Recovered","237","3534"
"21-Jun-20","6/21/2020","Recovered","186","3720"
"22-Jun-20","6/22/2020","Recovered","143","3863"
"23-Jun-20","6/23/2020","Recovered","125","3988"
"24-Jun-20","6/24/2020","Recovered","135","4123"
"25-Jun-20","6/25/2020","Recovered","168","4291"
"26-Jun-20","6/26/2020","Recovered","131","4422"
"27-Jun-20","6/27/2020","Recovered","184","4606"
"28-Jun-20","6/28/2020","Recovered","137","4743"
"29-Jun-20","6/29/2020","Recovered","203","4946"
"30-Jun-20","6/30/2020","Recovered","243","5189"
"1-Jul-20","7/1/2020","Recovered","164","5353"
"2-Jul-20","7/2/2020","Recovered","149","5502"
"3-Jul-20","7/3/2020","Recovered","203","5705"
"4-Jul-20","7/4/2020","Recovered","229","5934"
"5-Jul-20","7/5/2020","Recovered","290","6224"
"6-Jul-20","7/6/2020","Recovered","262","6486"
"7-Jul-20","7/7/2020","Recovered","217","6703"
"8-Jul-20","7/8/2020","Recovered","303","7006"
"9-Jul-20","7/9/2020","Recovered","401","7407"
"10-Jul-20","7/10/2020","Recovered","565","7972"
"11-Jul-20","7/11/2020","Recovered","388","8360"
"12-Jul-20","7/12/2020","Recovered","390","8750"
"13-Jul-20","7/13/2020","Recovered","505","9255"
"14-Jul-20","7/14/2020","Recovered","609","9864"
"15-Jul-20","7/15/2020","Recovered","612","10476"
"16-Jul-20","7/16/2020","Recovered","401","10877"
"17-Jul-20","7/17/2020","Recovered","453","11330"
"18-Jul-20","7/18/2020","Recovered","607","11937"
"19-Jul-20","7/19/2020","Recovered","516","12453"
"20-Jul-20","7/20/2020","Recovered","457","12910"
"21-Jul-20","7/21/2020","Recovered","400","13310"
"22-Jul-20","7/22/2020","Recovered","440","13750"
"23-Jul-20","7/23/2020","Recovered","643","14393"
"24-Jul-20","7/24/2020","Recovered","808","15201"
"25-Jul-20","7/25/2020","Recovered","728","15929"
"26-Jul-20","7/26/2020","Recovered","864","16793"
"27-Jul-20","7/27/2020","Recovered","581","17374"
"28-Jul-20","7/28/2020","Recovered","687","18061"
"29-Jul-20","7/29/2020","Recovered","878","18939"
"30-Jul-20","7/30/2020","Recovered","807","19746"
"31-Jul-20","7/31/2020","Recovered","772","20518"
"1-Aug-20","8/1/2020","Recovered","756","21274"
"2-Aug-20","8/2/2020","Recovered","681","21955"
"3-Aug-20","8/3/2020","Recovered","1119","23074"
"4-Aug-20","8/4/2020","Recovered","1409","24483"
"5-Aug-20","8/5/2020","Recovered","1255","25738"
"6-Aug-20","8/6/2020","Recovered","1150","26888"
"7-Aug-20","8/7/2020","Recovered","1810","28698"
"8-Aug-20","8/8/2020","Recovered","1544","30242"
"9-Aug-20","8/9/2020","Recovered","1543","31785"
"10-Aug-20","8/10/2020","Recovered","1236","33021"
"11-Aug-20","8/11/2020","Recovered","1785","34806"
"12-Aug-20","8/12/2020","Recovered","1673","36479"
"13-Aug-20","8/13/2020","Recovered","1422","37901"
"14-Aug-20","8/14/2020","Recovered","1305","39206"
"15-Aug-20","8/15/2020","Recovered","1521","40727"
"16-Aug-20","8/16/2020","Recovered","1550","42277"
"17-Aug-20","8/17/2020","Recovered","1503","43780"
"18-Aug-20","8/18/2020","Recovered","1535","45315"
"19-Aug-20","8/19/2020","Recovered","1621","46936"
"20-Aug-20","8/20/2020","Recovered","1641","48577"
"21-Aug-20","8/21/2020","Recovered","1927","50504"
"22-Aug-20","8/22/2020","Recovered","1773","52277"
